Sport,Question,Answer,Difficulty,Points,CategoryTag
NHL,Who holds the record for most career games by a goalie,Martin Brodeur - 1266,Hard,3,Records
NHL,Which team won the 2022 Stanley Cup,Colorado Avalanche,Easy,1,Championships
NHL,Who has the most career goals by a rookie,Teemu Selanne - 76,Medium,2,Records
NHL,What is the size of an NHL roster during a game,18 skaters plus 2 goalies,Medium,2,Rules
NHL,Who was the first European trained player to be a major NHL star,Borje Salming,Hard,3,History
NHL,Which player is known as Ovi,Alexander Ovechkin,Easy,1,Nicknames
NHL,Who has the most career overtime goals,Jaromir Jagr,Hard,3,Records
NHL,What is a delayed penalty,Penalty enforced after possession change,Medium,2,Rules
NHL,Who won the 2018 Stanley Cup,Washington Capitals,Easy,1,Championships
NHL,Which goalie has the best career goals against average,Dominik Hasek,Hard,3,Records
NHL,Who has the most career hat tricks,Wayne Gretzky - 50,Medium,2,Records
NHL,What is the crease,Area in front of goal for goalie protection,Easy,1,Rules
NHL,Who was the first player to score 50 goals in 50 games,Maurice Richard,Medium,2,History
NHL,Which team drafted Sidney Crosby,Pittsburgh Penguins,Easy,1,Players
NHL,Who has the most career playoff shutouts,Martin Brodeur,Hard,3,Records
NHL,What is a five hole goal,Shot between goalies legs,Easy,1,Quirky
NHL,Who won the 2006 Stanley Cup,Carolina Hurricanes,Easy,1,Championships
NHL,Which player is known as The Finnish Flash,Teemu Selanne,Easy,1,Nicknames
NHL,Who has the most career goals by a defenseman,Ray Bourque - 410,Hard,3,Records
NHL,What is a one timer,Immediate shot off a pass,Easy,1,Rules
NHL,Who won the 2015 Stanley Cup,Chicago Blackhawks,Easy,1,Championships
NHL,Which team relocated from Hartford to Carolina,Carolina Hurricanes,Medium,2,History
NHL,Who has the most career power play goals,Wayne Gretzky,Hard,3,Records
NHL,What is boarding,Illegal hit into boards,Medium,2,Rules
NHL,Who won the 2012 Stanley Cup,Los Angeles Kings,Easy,1,Championships
NHL,Which player is known as Mr Hockey,Gordie Howe,Easy,1,Nicknames
NHL,Who has the most career playoff wins as a goalie,Patrick Roy - 151,Medium,2,Records
NHL,What is a cross check,Using stick to push opponent,Medium,2,Rules
NHL,Who won the 1999 Stanley Cup,Dallas Stars,Easy,1,Championships
NHL,Which team relocated from Minnesota to Dallas,Dallas Stars,Medium,2,History
NHL,Who has the most career goals in playoffs,Wayne Gretzky - 122,Medium,2,Records
NHL,What is a penalty shot,Uncontested shot due to foul,Easy,1,Rules
NHL,Who won the 1991 Stanley Cup,Pittsburgh Penguins,Easy,1,Championships
NHL,Which player is known as The Flower,Marc Andre Fleury,Easy,1,Nicknames
NHL,Who has the most career assists in playoffs,Wayne Gretzky,Hard,3,Records
NHL,What is interference,Obstructing a player without puck,Medium,2,Rules
NHL,Who won the 1980 Stanley Cup,New York Islanders,Easy,1,Championships
NHL,Which team has won four straight Stanley Cups most recently,New York Islanders 1980 to 1983,Medium,2,History
NHL,Who has the most career game winning goals,Jaromir Jagr,Hard,3,Records
NHL,What is roughing,Minor altercation penalty,Easy,1,Rules
NHL,Who won the 2003 Stanley Cup,New Jersey Devils,Easy,1,Championships
NHL,Which player is known as The Moose,Mark Messier,Medium,2,Nicknames
NHL,Who has the most career playoff points by a defenseman,Paul Coffey,Hard,3,Records
NHL,What is a high sticking penalty,Contact with stick above shoulders,Medium,2,Rules
NHL,Who won the 1986 Stanley Cup,Montreal Canadiens,Easy,1,Championships
NHL,Which team has the fastest goal in NHL history,Los Angeles Kings - 5 seconds,Hard,3,Records
NHL,Who has the most career shots on goal,Ray Bourque,Hard,3,Records
NHL,What is a line change,Substituting players during play,Easy,1,Rules
NHL,Who won the 1970 Stanley Cup,Boston Bruins,Easy,1,Championships
NHL,Which player is known as The Russian Rocket,Pavel Bure,Easy,1,Nicknames